 --points----real t12___---imag t12___---real t23___---imag t23___---real t34___---imag t34___------r12_____------r13_____------r22_____------r11_____--------f1____--------f2____
        44     .00605681     .00648980     .00603721     .00650401     .02319251     .02410665     .00007181     .00015471     .00004116     .00015471     .14998714     .08207769
        45     .00598729     .00641622     .00596232     .00642595     .02290213     .02385167     .00007103     .00015281     .00004067     .00015281     .14834483     .08116271
        46     .00592473     .00634383     .00589542     .00635518     .02258790     .02347715     .00007024     .00015056     .00004029     .00015056     .14670529     .08029173
        47     .00584704     .00626838     .00583139     .00629111     .02243269     .02331354     .00006944     .00014957     .00003981     .00014957     .14511885     .07941476
        48     .00579295     .00620955     .00577667     .00622516     .02217470     .02308493     .00006872     .00014786     .00003940     .00014786     .14362972     .07857627
        49     .00574173     .00615037     .00571794     .00615691     .02190061     .02277570     .00006809     .00014602     .00003909     .00014602     .14214398     .07779052
        50     .00567142     .00607937     .00565576     .00609995     .02164389     .02246506     .00006729     .00014479     .00003864     .00014479     .14069988     .07698677
        51     .00562363     .00602700     .00560699     .00603923     .02152772     .02241884     .00006670     .00014336     .00003823     .00014336     .13933733     .07623792
        52     .00557165     .00596794     .00554659     .00597555     .02127068     .02213469     .00006606     .00014190     .00003785     .00014190     .13799253     .07551109
        53     .00551349     .00590838     .00549503     .00592798     .02102811     .02184192     .00006541     .00014056     .00003754     .00014056     .13668222     .07479081
        54     .00546905     .00585995     .00544772     .00587105     .02091687     .02173526     .00006485     .00013945     .00003718     .00013945     .13539947     .07409551
        55     .00542054     .00580687     .00539568     .00581432     .02069867     .02154473     .00006426     .00013804     .00003682     .00013804     .13417402     .07342559
        56     .00536836     .00574969     .00534523     .00575978     .02047133     .02126904     .00006366     .00013661     .00003652     .00013661     .13296921     .07277342
        57     .00531194     .00569139     .00529479     .00571065     .02035587     .02114845     .00006308     .00013575     .00003617     .00013575     .13178060     .07212157
        58     .00527280     .00565052     .00525350     .00566061     .02016019     .02098815     .00006256     .00013444     .00003583     .00013444     .13067089     .07149176
        59     .00523185     .00560206     .00520818     .00561176     .01994833     .02073962     .00006204     .00013299     .00003560     .00013299     .12953734     .07089305
        60     .00517609     .00554943     .00516070     .00556691     .01974875     .02049913     .00006146     .00013202     .00003527     .00013202     .12844115     .07028864
        61     .00514179     .00551047     .00512524     .00552034     .01966560     .02047009     .00006098     .00013115     .00003497     .00013115     .12740612     .06970580
        62     .00510297     .00546693     .00508293     .00547517     .01947097     .02025096     .00006056     .00012985     .00003475     .00012985     .12637018     .06915664
        63     .00505601     .00541833     .00504046     .00543427     .01929155     .02003302     .00005998     .00012898     .00003444     .00012898     .12535157     .06859361
        64     .00502090     .00537997     .00500317     .00539055     .01919938     .01994427     .00005956     .00012796     .00003415     .00012796     .12438320     .06806120
        65     .00498461     .00533911     .00496167     .00534618     .01902371     .01979524     .00005910     .00012688     .00003387     .00012688     .12342266     .06753680
